datetime,temp_heated,temp_out,temp_low,temp_high,moist_F,moist_V,moist_E,moist_true
2024-10-19 15:06:18+03:00,16.70,10.70,15.70,11.20,,,,
2024-10-19 15:06:43+03:00,16.70,10.80,12.20,11.70,,,,
2024-10-19 15:07:08+03:00,16.90,10.60,12.00,11.60,,,,
2024-10-19 15:07:33+03:00,21.60,12.60,11.90,10.90,,,,
2024-10-19 15:07:58+03:00,27.70,10.40,11.70,11.40,,,,
2024-10-19 15:08:23+03:00,35.40,10.80,12.50,11.50,,,,
2024-10-19 15:08:48+03:00,41.10,10.80,12.90,10.80,,,,
2024-10-19 15:09:13+03:00,45.60,10.90,14.70,11.70,,,,
2024-10-19 15:09:38+03:00,51.10,10.60,16.90,11.60,,,,
2024-10-19 15:10:03+03:00,53.70,10.20,18.00,11.10,,,,
2024-10-19 15:10:28+03:00,56.60,10.40,19.50,11.00,,,,
2024-10-19 15:10:52+03:00,59.00,9.60,20.50,11.20,,,,
2024-10-19 15:11:17+03:00,59.60,10.90,21.50,10.90,,,,
2024-10-19 15:11:42+03:00,60.70,10.60,21.90,10.90,,,,
2024-10-19 15:12:07+03:00,62.20,11.10,23.30,13.20,,,,
2024-10-19 15:12:32+03:00,62.80,11.00,24.40,11.30,,,,
2024-10-19 15:12:57+03:00,63.80,11.40,26.10,11.20,,,,
2024-10-19 15:13:25+03:00,67.10,11.70,27.70,13.70,,,,
2024-10-19 15:13:50+03:00,64.70,11.40,27.40,11.10,,,,
2024-10-19 15:14:15+03:00,65.30,11.80,26.80,11.30,,,,
2024-10-19 15:14:15.581000+03:00,,,,,166.45,157.30,181.50,
2024-10-19 15:14:17+03:00,65.30,12.20,27.00,10.90,,,,
2024-10-19 15:14:17.268000+03:00,,,,,166.20,157.30,181.25,
2024-10-19 15:14:18+03:00,66.30,12.30,27.10,11.20,,,,
2024-10-19 15:14:18.938000+03:00,,,,,165.35,157.00,181.35,
2024-10-19 15:14:20+03:00,65.20,12.00,26.70,11.10,,,,
2024-10-19 15:14:20.618000+03:00,,,,,165.70,157.00,181.20,
2024-10-19 15:14:22+03:00,65.30,12.20,27.10,11.30,,,,
2024-10-19 15:14:22.303000+03:00,,,,,166.15,157.65,181.90,
2024-10-19 15:14:23+03:00,65.70,14.80,26.80,10.60,,,,
2024-10-19 15:14:23.988000+03:00,,,,,167.35,157.30,180.50,
2024-10-19 15:14:25+03:00,65.10,12.10,26.80,11.00,,,,
2024-10-19 15:14:25.678000+03:00,,,,,163.35,155.75,180.55,
2024-10-19 15:14:27+03:00,65.10,11.90,26.70,11.00,,,,
2024-10-19 15:14:27.353000+03:00,,,,,165.50,157.00,181.30,
2024-10-19 15:14:28+03:00,65.20,11.90,27.10,11.10,,,,
2024-10-19 15:14:29.038000+03:00,,,,,164.55,156.05,180.60,
2024-10-19 15:14:30+03:00,300.00,300.00,300.00,300.00,,,,
2024-10-19 15:14:30.438000+03:00,,,,,166.50,157.30,181.40,
2024-10-19 15:14:32+03:00,65.50,12.30,26.70,11.50,,,,
2024-10-19 15:14:32.118000+03:00,,,,,166.85,157.95,182.00,
2024-10-19 15:14:33+03:00,65.50,12.30,26.70,11.00,,,,
2024-10-19 15:14:33.833000+03:00,,,,,164.55,156.05,180.50,
2024-10-19 15:14:35+03:00,65.00,12.50,26.90,11.30,,,,
2024-10-19 15:14:35.523000+03:00,,,,,165.10,156.70,181.15,
2024-10-19 15:14:37+03:00,66.30,12.60,27.00,11.00,,,,
2024-10-19 15:14:37.228000+03:00,,,,,166.40,156.70,180.00,
2024-10-19 15:14:38+03:00,66.30,12.10,27.30,10.90,,,,
2024-10-19 15:14:38.898000+03:00,,,,,165.40,157.00,181.60,
2024-10-19 15:14:40+03:00,65.30,12.30,26.80,10.90,,,,
2024-10-19 15:14:40.559000+03:00,,,,,164.60,156.40,180.65,
2024-10-19 15:14:42+03:00,64.90,12.00,26.60,11.10,,,,
2024-10-19 15:14:43.023000+03:00,,,,,165.00,156.40,180.50,
2024-10-19 15:14:44+03:00,65.20,12.80,26.90,11.20,,,,
2024-10-19 15:14:44.673000+03:00,,,,,165.40,156.40,180.10,
2024-10-19 15:14:46+03:00,65.50,12.50,27.10,11.20,,,,
2024-10-19 15:14:46.348000+03:00,,,,,165.40,156.40,180.45,
2024-10-19 15:14:47+03:00,65.70,12.50,26.70,11.10,,,,
2024-10-19 15:14:48.063000+03:00,,,,,164.85,156.05,180.20,
2024-10-19 15:14:49+03:00,65.30,12.30,26.60,11.10,,,,
2024-10-19 15:14:49.718000+03:00,,,,,165.25,156.05,179.55,
2024-10-19 15:14:51+03:00,66.00,12.30,26.80,11.20,,,,
2024-10-19 15:14:51.384000+03:00,,,,,165.70,156.70,180.70,
2024-10-19 15:14:52+03:00,65.80,12.90,27.00,11.30,,,,
2024-10-19 15:14:53.070000+03:00,,,,,165.30,156.40,179.95,
2024-10-19 15:14:54+03:00,65.70,12.60,26.80,11.00,,,,
2024-10-19 15:14:54.778000+03:00,,,,,164.70,156.05,180.00,
2024-10-19 15:14:56+03:00,65.30,12.50,26.70,11.60,,,,
2024-10-19 15:14:56.484000+03:00,,,,,164.90,156.05,180.00,
2024-10-19 15:14:58+03:00,65.20,12.20,26.80,11.10,,,,
2024-10-19 15:14:58.148000+03:00,,,,,164.40,156.05,180.15,
2024-10-19 15:14:59+03:00,65.70,12.40,26.80,15.00,,,,
2024-10-19 15:14:59.828000+03:00,,,,,164.05,155.75,180.25,
2024-10-19 15:15:00+03:00,,,,,,,,19.80
2024-10-19 15:15:01+03:00,65.30,12.40,27.30,10.90,,,,
2024-10-19 15:15:01.483000+03:00,,,,,163.25,155.15,179.50,
2024-10-19 15:15:03+03:00,65.90,12.80,27.20,11.00,,,,
2024-10-19 15:15:03.133000+03:00,,,,,164.30,155.75,180.00,
2024-10-19 15:15:04+03:00,65.40,12.80,27.20,12.40,,,,
2024-10-19 15:15:04.853000+03:00,,,,,165.50,155.75,179.10,
2024-10-19 15:15:06+03:00,65.90,12.40,27.40,11.10,,,,
2024-10-19 15:15:06.568000+03:00,,,,,163.90,155.15,178.90,
2024-10-19 15:15:08+03:00,69.20,13.00,27.10,11.20,,,,
2024-10-19 15:15:08.313000+03:00,,,,,162.40,154.50,178.75,
2024-10-19 15:15:09+03:00,65.60,12.00,27.00,10.70,,,,
2024-10-19 15:15:10.008000+03:00,,,,,163.70,155.15,178.75,
2024-10-19 15:15:11+03:00,65.90,12.40,27.40,11.30,,,,
2024-10-19 15:15:13+03:00,65.70,13.00,27.00,11.10,,,,
2024-10-19 15:15:13.393000+03:00,,,,,164.15,155.15,178.70,
2024-10-19 15:15:14+03:00,65.80,12.90,27.20,11.10,,,,
2024-10-19 15:15:15.083000+03:00,,,,,163.75,155.15,178.95,
2024-10-19 15:15:16+03:00,65.90,12.90,28.00,10.70,,,,
2024-10-19 15:15:16.755000+03:00,,,,,162.60,153.90,177.20,
2024-10-19 15:15:18+03:00,66.10,12.60,27.20,11.10,,,,
2024-10-19 15:15:18.478000+03:00,,,,,162.25,154.20,178.15,
2024-10-19 15:15:20+03:00,65.90,12.60,27.10,11.40,,,,
2024-10-19 15:15:20.189000+03:00,,,,,163.45,154.50,177.85,
2024-10-19 15:15:21+03:00,66.40,12.60,27.40,10.90,,,,
2024-10-19 15:15:21.903000+03:00,,,,,162.30,153.90,177.70,
2024-10-19 15:15:23+03:00,66.00,12.40,27.20,10.80,,,,
2024-10-19 15:15:23.583000+03:00,,,,,162.65,154.20,177.90,
2024-10-19 15:15:25+03:00,66.00,12.90,27.70,11.10,,,,
2024-10-19 15:15:25.283000+03:00,,,,,162.40,153.90,177.20,
2024-10-19 15:15:26+03:00,66.10,12.80,27.90,11.20,,,,
2024-10-19 15:15:26.968000+03:00,,,,,162.65,153.60,176.90,
2024-10-19 15:15:28+03:00,66.80,12.90,27.20,11.40,,,,
2024-10-19 15:15:28.658000+03:00,,,,,162.80,153.90,177.20,
2024-10-19 15:15:30+03:00,66.60,12.80,27.40,10.70,,,,
2024-10-19 15:15:30.368000+03:00,,,,,160.90,152.95,177.00,
2024-10-19 15:15:31+03:00,66.10,12.80,26.90,11.60,,,,
2024-10-19 15:15:32.063000+03:00,,,,,163.30,154.20,177.25,
2024-10-19 15:15:33+03:00,66.10,12.90,27.60,11.20,,,,
2024-10-19 15:15:33.768000+03:00,,,,,162.60,154.20,177.70,
2024-10-19 15:15:35+03:00,66.40,12.80,27.90,11.30,,,,
2024-10-19 15:15:35.438000+03:00,,,,,161.45,153.60,177.30,
2024-10-19 15:15:37+03:00,65.70,12.70,27.90,11.00,,,,
2024-10-19 15:15:37.168000+03:00,,,,,162.85,153.90,177.30,
2024-10-19 15:15:38+03:00,70.20,13.10,28.40,11.20,,,,
2024-10-19 15:15:38.848000+03:00,,,,,160.95,153.30,177.55,
2024-10-19 15:15:40+03:00,66.00,12.90,27.40,11.00,,,,
2024-10-19 15:15:40.548000+03:00,,,,,161.40,153.30,176.80,
2024-10-19 15:15:42+03:00,65.80,12.70,27.70,11.00,,,,
2024-10-19 15:15:42.223000+03:00,,,,,162.25,153.90,177.30,
2024-10-19 15:15:43+03:00,65.90,12.70,27.80,10.80,,,,
